Date,Shed,Age,Mortality,Bird_Balance,Fresh_Eggs,Crack_Eggs,Leaker_Eggs,Jumbo_Tray,Production_Pct,Fresh_Tray,Bird_Weight,Tray_Weight
2025-10-27,Shed 2,,,,,,,,,,5954.171718750001,1902.967569444444
2025-10-27,Shed 3,,,,,,,,,,5826.453125,1865.0369444444445
2025-10-27,Shed 4,,,,,,,,,,5766.0884375000005,1885.4075
2025-06-22,Shed 1,47.4,7.0,21605.0,20400.0,10,5,2,,680.0,,
2025-06-22,Shed 2,45.2,6.0,21394.0,20340.0,30,5,3,,678.0,,
2025-06-22,Shed 3,52.2,10.0,21275.0,19410.0,40,20,1.6,,647.0,,
2025-06-22,Shed 4,49.7,6.0,21583.0,20070.0,90,30,2,,669.0,,
2025-06-23,Shed 1,47.5,8.0,21597.0,20400.0,30,3,2,,680.0,,
2025-06-23,Shed 2,45.3,5.0,21389.0,20280.0,25,10,3,,676.0,,
2025-06-23,Shed 3,52.3,4.0,21271.0,19260.0,60,4,1,,642.0,,
2025-06-23,Shed 4,50.1,8.0,21575.0,20610.0,30,30,2,,687.0,,
2025-06-24,Shed 1,47.6,6.0,21591.0,20400.0,18,7,4,94.48,680.0,,
2025-06-24,Shed 2,45.4,4.0,21385.0,20190.0,25,7,3,94.41,673.0,,
2025-06-24,Shed 3,52.4,7.0,21264.0,19230.0,60,7,1.4,90.43,641.0,,
2025-06-24,Shed 4,50.2,1.0,21574.0,20040.0,30,5,1,92.89,668.0,,
2025-06-25,Shed 1,47.7,7.0,21584.0,20340.0,19,4,4,94.24,678.0,,
2025-06-25,Shed 2,45.5,8.0,21377.0,20160.0,25,7,2,94.31,672.0,,
2025-06-25,Shed 3,52.5,8.0,21256.0,19140.0,27,6,2,90.05,638.0,,
2025-06-25,Shed 4,50.3,7.0,21567.0,20460.0,150,5,2,94.87,682.0,,
2025-06-26,Shed 1,48.1,7.0,21577.0,20400.0,18,2,2,94.55,680.0,,
2025-06-26,Shed 2,45.6,5.0,21372.0,20250.0,25,12,2,94.75,675.0,,
2025-06-26,Shed 3,52.6,3.0,21253.0,19140.0,60,5,1,90.06,638.0,,
2025-06-26,Shed 4,50.4,5.0,21562.0,20370.0,36,0,2,94.47,679.0,,
2025-06-27,Shed 1,48.2,5.0,21572.0,20400.0,27,3,3,94.57,680.0,,
2025-06-27,Shed 2,45.7,4.0,21368.0,20250.0,15,5,2,94.77,675.0,,
2025-06-27,Shed 3,52.7,3.0,21250.0,19050.0,35,5,6 eggs,89.65,635.0,,
2025-06-27,Shed 4,50.5,4.0,21558.0,20520.0,6,4,2,95.19,684.0,,
2025-06-28,Shed 1,48.3,6.0,21566.0,20400.0,24,6,2,94.59,680.0,,
2025-06-28,Shed 2,46.1,3.0,21365.0,20280.0,20,3,2,94.92,676.0,,
2025-06-28,Shed 3,53.1,4.0,21246.0,19020.0,20,4,1,89.52,634.0,,
2025-06-28,Shed 4,50.6,3.0,21555.0,19800.0,14,2,6 eggs,91.86,660.0,,
2025-06-29,Shed 1,48.4,3.0,21552.0,20250.0,18,2,3,93.96,675.0,,
2025-06-29,Shed 2,46.2,3.0,21348.0,20280.0,20,12,3,95.0,676.0,,
2025-06-29,Shed 3,53.2,10.0,21236.0,19380.0,0,6,1,91.26,646.0,,
2025-06-29,Shed 4,50.7,4.0,21551.0,19740.0,20,5,40 eggs,91.6,658.0,,
2025-06-30,Shed 1,48.5,6.0,21546.0,20250.0,12,3,2,93.98,675.0,,
2025-06-30,Shed 2,46.3,6.0,21342.0,20220.0,25,5,3,94.74,674.0,,
