Date,Shed,Age,Mortality,Bird_Balance,Fresh_Eggs,Crack_Eggs,Leaker_Eggs,Jumbo_Tray,Production_Pct,Fresh_Tray
2026-01-06,Shed 1,96.4,9,22350,18780,15,6,6,84.03,626
2026-01-06,Shed 2,95.3,4,22303,18690,22,12,4,83.8,623
2026-01-06,Shed 3,101.3,2,7281,6090,16,8,2,83.64,203
2026-01-06,Shed 4,99.1,5,22478,18930,20,5,4,84.22,631
2026-02-06,Shed 1,96.5,7,22343,18750,28,6,5,83.92,625
2026-02-06,Shed 2,95.4,5,22298,18750,26,8,2,84.09,625
2026-02-06,Shed 3,101.4,1,7280,6060,17,9,2,83.24,202
2026-02-06,Shed 4,99.2,3,22475,18840,30,16,4,83.83,628
2026-03-06,Shed 1,96.6,12,22331,18930,23,7,4,84.77,631
2026-03-06,Shed 2,95.5,6,22292,18750,40,13,2,84.11,625
2026-03-06,Shed 3,101.5,2,7278,6030,18,3,2,82.85,201
2026-03-06,Shed 4,99.3,5,22470,19110,10,24,3,85.05,637
2026-04-06,Shed 1,96.7,6,22325,19020,28,11,4,85.2,634
2026-04-06,Shed 2,95.6,6,22286,18930,18,12,2,84.94,631
2026-04-06,Shed 3,101.6,0,7278,6090,6,2,2,83.68,203
2026-04-06,Shed 4,99.4,5,22465,18930,15,30,3,84.26,631
2026-05-06,Shed 1,97.1,4,22321,18810,16,6,3,84.27,627
2026-05-06,Shed 2,95.7,5,22281,18900,20,18,2,84.83,630
2026-05-06,Shed 3,101.7,0,7278,6030,12,8,1,82.85,201
2026-05-06,Shed 4,99.5,2,22463,18750,28,15,2,83.47,625
